Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
brother,2023-09-29 23:53:45,00:39:36,,Suits: Season 6: Admission of Guilt (Episode 14),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:16,00:41:16,US (United States)
brother,2023-09-29 23:28:56,00:24:46,,"Suits: Season 6: Teeth, Nose, Teeth (Episode 13)",,Samsung CE 2019 Muse-L UHD TV Smart TV,00:43:23,00:43:23,US (United States)
brother,2023-09-29 22:41:27,00:00:25,Autoplayed: user action: None; ,Suits: Season 5 - CLM 5,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:25,00:00:25,US (United States)
brother,2023-09-29 04:31:08,00:07:00,Autoplayed: user action: User_Interaction; ,"Suits: Season 6: Teeth, Nose, Teeth (Episode 13)",,Samsung CE 2019 Muse-L UHD TV Smart TV,00:18:40,Not latest view,US (United States)
brother,2023-09-29 04:30:18,00:00:40,Autoplayed: user action: None; ,Suits: Season 5 - CLM 3,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:40,00:00:40,US (United States)
brother,2023-09-26 23:54:35,00:14:27,,"Suits: Season 6: Teeth, Nose, Teeth (Episode 13)",,Samsung CE 2019 Muse-L UHD TV Smart TV,00:12:47,Not latest view,US (United States)
brother,2023-09-25 05:04:08,00:03:24,,"Suits: Season 6: Teeth, Nose, Teeth (Episode 13)",,Samsung CE 2019 Muse-L UHD TV Smart TV,00:04:29,Not latest view,US (United States)
brother,2023-09-25 04:53:51,00:10:01,,Suits: Season 6: The Painting (Episode 12),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:08,00:42:08,US (United States)
brother,2023-09-25 03:22:34,01:22:17,,The Wolf of Wall Street,,Samsung CE 2019 Muse-L UHD TV Smart TV,02:52:51,02:52:51,US (United States)
brother,2023-09-25 01:33:23,01:16:54,,The Wolf of Wall Street,,Samsung CE 2019 Muse-L UHD TV Smart TV,01:16:26,Not latest view,US (United States)
brother,2023-09-25 01:33:05,00:00:16,Autoplayed: user action: None; ,The Wolf of Wall Street - CLM 1,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:16,00:00:16,US (United States)
brother,2023-09-24 23:06:55,00:29:42,Autoplayed: user action: User_Interaction; ,Suits: Season 6: The Painting (Episode 12),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:31:06,Not latest view,US (United States)
brother,2023-09-24 22:40:36,00:12:02,,Suits: Season 6: She's Gone (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:51,00:42:51,US (United States)
brother,2023-09-24 22:40:27,00:00:07,Autoplayed: user action: None; ,Suits: Season 5 - CLM 5,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:07,Not latest view,US (United States)
brother,2023-09-22 22:58:35,00:15:20,Autoplayed: user action: User_Interaction; ,Suits: Season 6: She's Gone (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:30:50,Not latest view,US (United States)
brother,2023-09-21 03:19:34,00:15:20,,Suits: Season 6: She's Gone (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:15:34,Not latest view,US (United States)
brother,2023-09-21 00:03:42,00:04:36,,Suits: Season 6: She's Gone (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:11:19,Not latest view,US (United States)
brother,2023-09-20 23:58:07,00:05:10,,Suits: Season 6: She's Gone (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:06:51,Not latest view,US (United States)
brother,2023-09-20 04:13:22,00:00:05,,Suits: Season 6: She's Gone (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:08,Not latest view,US (United States)
brother,2023-09-20 03:55:58,00:17:22,,Suits: Season 6: P.S.L. (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:43:28,00:43:28,US (United States)
brother,2023-09-20 00:29:41,00:28:28,,Suits: Season 6: P.S.L. (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:26:07,Not latest view,US (United States)
brother,2023-09-20 00:06:18,00:23:09,,Suits: Season 6: The Hand That Feeds You (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:40:50,00:40:50,US (United States)
brother,2023-09-19 23:04:21,00:17:50,,Suits: Season 6: The Hand That Feeds You (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:18:26,Not latest view,US (United States)
brother,2023-09-19 22:41:41,00:22:21,,Suits: Season 6: Borrowed Time (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:56,00:41:56,US (United States)
brother,2023-09-19 22:40:48,00:00:50,Autoplayed: user action: None; ,Suits: Season 1 - CLM 2,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:50,00:00:50,US (United States)
brother,2023-09-19 14:55:43,00:23:08,,Suits: Season 6: Borrowed Time (Episode 8),,Apple iPhone 14 Pro iPhone,00:22:19,Not latest view,US (United States)
brother,2023-09-19 04:33:52,00:00:06,,Suits: Season 6: Borrowed Time (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:06,Not latest view,US (United States)
brother,2023-09-19 03:53:45,00:40:05,,Suits: Season 6: Shake the Trees (Episode 7),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:32,00:41:32,US (United States)
brother,2023-09-19 03:07:25,00:44:02,,Suits: Season 6: Spain (Episode 6),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:28,00:42:28,US (United States)
brother,2023-09-19 02:55:42,00:11:41,,Suits: Season 6: Trust (Episode 5),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:35,00:41:35,US (United States)
brother,2023-09-19 01:28:48,00:28:26,,Suits: Season 6: Trust (Episode 5),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:29:58,Not latest view,US (United States)
brother,2023-09-19 00:51:38,00:37:04,,Suits: Season 6: Turn (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:32,00:41:32,US (United States)
brother,2023-09-18 23:43:39,00:03:30,,Suits: Season 6: Turn (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:04:25,Not latest view,US (United States)
brother,2023-09-18 23:39:49,00:03:46,,Suits: Season 6: Back on the Map (Episode 3),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:24,00:41:24,US (United States)
brother,2023-09-18 22:22:39,00:19:55,,Suits: Season 6: Back on the Map (Episode 3),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:37:43,Not latest view,US (United States)
brother,2023-09-18 04:57:28,00:00:07,Autoplayed: user action: None; ,Suits: Season 2 - CLM 4,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:07,00:00:07,US (United States)
brother,2023-09-18 04:56:25,00:00:59,Autoplayed: user action: None; ,Suits: Season 2 - CLM 4,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:59,Not latest view,US (United States)
brother,2023-09-18 04:39:47,00:16:31,Autoplayed: user action: User_Interaction; ,Suits: Season 6: Back on the Map (Episode 3),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:17:50,Not latest view,US (United States)
brother,2023-09-18 03:48:18,00:40:19,,Suits: Season 6: Accounts Payable (Episode 2),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:16,00:42:16,US (United States)
brother,2023-09-17 07:13:15,00:01:06,,Suits: Season 6: Accounts Payable (Episode 2),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:09,Not latest view,US (United States)
brother,2023-09-17 06:28:44,00:39:12,,Suits: Season 6: To Trouble (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:41:25,00:41:25,US (United States)
brother,2023-09-17 06:28:19,00:00:13,,Suits: Season 6: To Trouble (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:39,Not latest view,US (United States)
brother,2023-09-17 05:27:36,00:40:59,,Suits: Season 5: 25th Hour (Episode 16),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:45:20,00:45:20,US (United States)
brother,2023-09-17 04:44:20,00:40:50,,Suits: Season 5: Tick Tock (Episode 15),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:52,00:42:52,US (United States)
brother,2023-09-17 04:13:39,00:30:31,Autoplayed: user action: User_Interaction; ,Suits: Season 5: Self Defense (Episode 14),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:21,00:42:21,US (United States)
brother,2023-09-16 07:35:15,00:10:19,,Suits: Season 5: Self Defense (Episode 14),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:11:50,Not latest view,US (United States)
brother,2023-09-16 07:35:00,00:00:07,,Suits: Season 5: Self Defense (Episode 14),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:04,Not latest view,US (United States)
brother,2023-09-16 06:46:03,00:41:39,,Suits: Season 5: God's Green Earth (Episode 13),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:00,00:42:00,US (United States)
brother,2023-09-16 06:45:39,00:00:06,,Suits: Season 5: God's Green Earth (Episode 13),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:55,Not latest view,US (United States)
brother,2023-09-16 06:26:03,00:14:06,Autoplayed: user action: User_Interaction; ,Suits: Season 5: Live to Fight... (Episode 12),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:53,00:42:53,US (United States)
brother,2023-09-15 21:46:09,00:28:17,,Suits: Season 5: Live to Fight... (Episode 12),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:28:49,Not latest view,US (United States)
brother,2023-09-15 21:45:28,00:00:25,,Suits: Season 5: Live to Fight... (Episode 12),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:23,Not latest view,US (United States)
brother,2023-09-15 21:29:47,00:15:39,,Suits: Season 5: Blowback (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:34,00:44:34,US (United States)
brother,2023-09-15 20:30:31,00:26:54,,Suits: Season 5: Blowback (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:28:55,Not latest view,US (United States)
brother,2023-09-15 20:30:11,00:00:06,,Suits: Season 5: Blowback (Episode 11),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:40,Not latest view,US (United States)
brother,2023-09-15 19:45:37,00:44:23,,Suits: Season 5: Faith (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:43:42,00:43:42,US (United States)
brother,2023-09-15 19:45:25,00:00:10,Autoplayed: user action: None; ,Suits: Season 1 - CLM 3,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:10,00:00:10,US (United States)
brother,2023-09-15 16:31:29,00:00:07,Autoplayed: user action: None; ,Band of Brothers_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:07,00:00:07,US (United States)
brother,2023-09-15 14:37:35,01:43:42,Autoplayed: user action: User_Interaction; ,Non-Stop,,Samsung CE 2019 Muse-L UHD TV Smart TV,01:40:41,01:40:41,US (United States)
brother,2023-09-15 14:35:25,00:01:49,,Quarterback: Season 1: Roller Coaster (Episode 5),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:10:57,Not latest view,US (United States)
brother,2023-09-15 14:35:04,00:00:06,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: Quarterback,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:06,00:00:06,US (United States)
brother,2023-09-15 14:34:41,00:00:05,,Suits: Season 5: Faith (Episode 10),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:02,Not latest view,US (United States)
brother,2023-09-15 13:41:41,00:43:49,,Suits: Season 5: Uninvited Guests (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:42,00:42:42,US (United States)
brother,2023-09-15 05:56:10,00:18:54,,Suits: Season 5: Uninvited Guests (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:20,Not latest view,US (United States)
brother,2023-09-14 05:06:12,00:00:25,,Suits: Season 5: Uninvited Guests (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:12,Not latest view,US (United States)
brother,2023-09-14 05:05:50,00:00:04,,Suits: Season 5: Uninvited Guests (Episode 9),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:50,Not latest view,US (United States)
brother,2023-09-14 04:56:15,00:09:32,,Suits: Season 5: Mea Culpa (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:34,00:42:34,US (United States)
brother,2023-09-14 03:08:00,00:34:18,,Suits: Season 5: Mea Culpa (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:33:07,Not latest view,US (United States)
brother,2023-09-14 03:07:43,00:00:05,,Suits: Season 5: Mea Culpa (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:46,Not latest view,US (United States)
brother,2023-09-14 02:53:46,00:13:48,Autoplayed: user action: User_Interaction; ,Suits: Season 5: Hitting Home (Episode 7),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:38,00:42:38,US (United States)
brother,2023-09-13 14:45:10,00:29:23,,Suits: Season 5: Hitting Home (Episode 7),,Apple iPhone 14 Pro iPhone,00:29:38,Not latest view,US (United States)
brother,2023-09-13 05:04:25,00:00:05,,Suits: Season 5: Hitting Home (Episode 7),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:48,Not latest view,US (United States)
brother,2023-09-13 04:23:39,00:38:18,,Suits: Season 5: Privilege (Episode 6),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:40:55,00:40:55,US (United States)
brother,2023-09-13 04:23:29,00:00:08,Autoplayed: user action: None; ,Suits: Season 2 - CLM 1,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:08,00:00:08,US (United States)
brother,2023-09-13 00:53:33,00:11:43,,Suits: Season 5: Privilege (Episode 6),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:20,Not latest view,US (United States)
brother,2023-09-13 00:15:00,00:00:02,,Suits: Season 5: Privilege (Episode 6),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:05,Not latest view,US (United States)
brother,2023-09-12 23:37:15,00:37:21,Autoplayed: user action: User_Interaction; ,Suits: Season 5: Toe to Toe (Episode 5),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:09,00:42:09,US (United States)
brother,2023-09-12 20:24:20,00:05:18,,Suits: Season 5: Toe to Toe (Episode 5),,Apple iPhone 14 Pro iPhone,00:06:39,Not latest view,US (United States)
brother,2023-09-12 20:15:58,00:08:19,,Suits: Season 5: No Puedo Hacerlo (Episode 4),,Apple iPhone 14 Pro iPhone,00:42:30,00:42:30,US (United States)
brother,2023-09-12 19:47:58,00:12:46,,Suits: Season 5: No Puedo Hacerlo (Episode 4),,Apple iPhone 14 Pro iPhone,00:34:31,Not latest view,US (United States)
brother,2023-09-12 18:41:05,00:20:41,,Suits: Season 5: No Puedo Hacerlo (Episode 4),,Apple iPhone 14 Pro iPhone,00:21:54,Not latest view,US (United States)
brother,2023-09-12 18:05:11,00:35:52,,Suits: Season 5: No Refills (Episode 3),,Apple iPhone 14 Pro iPhone,00:42:25,00:42:25,US (United States)
brother,2023-09-12 15:52:40,00:05:38,,Suits: Season 5: No Refills (Episode 3),,Apple iPhone 14 Pro iPhone,00:06:20,Not latest view,US (United States)
brother,2023-09-12 15:19:38,00:32:35,,Suits: Season 5: Compensation (Episode 2),,Apple iPhone 14 Pro iPhone,00:41:32,00:41:32,US (United States)
